Training log created at 2025-10-28T14:33:14.957871
Epoch 2 : 700 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:44 hours , time left to finish the epoch : 0:06:17 hours , Loss/total: 7.99355 , IoU: 0.06533 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 750 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:50 hours , time left to finish the epoch : 0:06:17 hours , Loss/total: 7.99328 , IoU: 0.06573 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 800 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:01:58 hours , time left to finish the epoch : 0:07:07 hours , Loss/total: 7.99259 , IoU: 0.06777 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 850 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:05 hours , time left to finish the epoch : 0:05:46 hours , Loss/total: 7.99282 , IoU: 0.06654 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 900 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:12 hours , time left to finish the epoch : 0:05:43 hours , Loss/total: 7.98631 , IoU: 0.06766 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 950 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:18 hours , time left to finish the epoch : 0:05:45 hours , Loss/total: 7.98380 , IoU: 0.06924 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1000 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:25 hours , time left to finish the epoch : 0:05:44 hours , Loss/total: 7.98346 , IoU: 0.06776 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1050 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:02:33 hours , time left to finish the epoch : 0:06:30 hours , Loss/total: 7.97962 , IoU: 0.06594 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1100 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:02:40 hours , time left to finish the epoch : 0:05:37 hours , Loss/total: 7.97757 , IoU: 0.06568 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1150 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:47 hours , time left to finish the epoch : 0:05:15 hours , Loss/total: 7.97138 , IoU: 0.06551 , LR/group0: 0.000100 , LR/group1: 0.000010
